Tier;Material Group;Raw material;Processstep;Impactcountry;Environmentalimpactgroup;Indicator unit;Material_ePKI_intensity;Valued_Ekpi_intensity
4.0;Animal Fibers;Animal Fibers - wool - regenerated;Animal rearing;Uruguay;Land use;ha;0.0406450571989;45.1257527675
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.54611382753;0.334036096802
4.0;Precious skin;Precious skin - snake - farmed;Animal rearing;Vietnam;Land use;ha;6.22286095867e-05;0.0627158656982
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;Spain;GHGs;kg CO2e;4.54611382753;0.334036096802
4.0;Precious skin;Precious skin - croc and gator - farmed;Animal rearing;Zambia;Land use;ha;0.000764381626154;0.246236922921
3.0;Fur;Fur - lamb;Tanning - RH_WB;Spain;GHGs;kg CO2e;0.8609904491;0.0632632397498
4.0;Animal Fibers;Animal Fibers - cashmere - conventional;Animal rearing;China;Land use;ha;2.03945003947;1222.81890491
3.0;Leather;Leather - beef - calf - conventional;Tanning - WB_FL;Spain;GHGs;kg CO2e;1.0541711125;0.0774576302178
4.0;Animal Fibers;Animal Fibers - silk - conventional;Silk production;Japan;Land use;ha;0.0012339845;0.690204211356
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;Spain;GHGs;kg CO2e;1.0541711125;0.0774576302178
4.0;Animal Fibers;Animal Fibers - wool - organic;Animal rearing;China;Land use;ha;0.0301109953772;15.3701396284
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Washing;Spain;GHGs;kg CO2e;1.50046310484;0.110249953686
4.0;Animal Fibers;Animal Fibers - wool - organic;Animal rearing;Germany;Land use;ha;0.00477437857999;2.45742511503
3.0;Rubber;Rubber - synthetic;Processing;Spain;GHGs;kg CO2e;1.41712751164;0.104126680637
4.0;Animal Fibers;Animal Fibers - wool - organic;Animal rearing;New Zealand;Land use;ha;0.032081935729;12.3380660034
3.0;Other;Other - ceramic;Processing;Spain;GHGs;kg CO2e;0.8802378332;0.0646774852576
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Albania;Land use;ha;2.95e-08;1.46475182301e-05
3.0;Paper;Paper - paper and cardboard - uncertified;Processing;Spain;GHGs;kg CO2e;0.510535413991;0.0375127556059
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Algeria;Land use;ha;3.58522022612e-08;5.39823626544e-06
4.0;Leather;Leather - sheep - lamb - conventional;Animal rearing;Spain;GHGs;kg CO2e;11.4535064778;0.841572548268
3.0;Fur;Fur;Abattoir;Argentina;Land use;ha;2.131e-07;0.00011467503435
4.0;Animal Fibers;Animal Fibers - mohair - conventional;Animal rearing;Spain;GHGs;kg CO2e;179.729542707;13.2060386527
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Argentina;Land use;ha;2.95e-08;1.58747701236e-05
4.0;Cellulose based Fibers;Cellulose based Fibers - acetate;Extraction;Spain;GHGs;kg CO2e;0.1169486137;0.00859306650224
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Australia;Land use;ha;5.86356930245e-07;0.000253798143167
4.0;Plastic;Plastic - acetal;Extraction;Spain;GHGs;kg CO2e;0.555846935174;0.0408421231163
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Austria;Land use;ha;2.95e-08;2.03947943761e-05
4.0;Plastic;Plastic - eva;Extraction;Spain;GHGs;kg CO2e;0.1120772829;0.00823513434559
3.0;Leather;Leather - sheep/goat - conventional;Abattoir;Brazil;Land use;ha;5.37783033918e-09;9.51081928007e-06
4.0;Plastic;Plastic - pe;Extraction;Spain;GHGs;kg CO2e;0.2031788731;0.0149290317616
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Bulgaria;Land use;ha;2.95e-08;1.56516679809e-05
4.0;Plastic;Plastic - polystyrene;Extraction;Spain;GHGs;kg CO2e;0.1806930945;0.0132768378214
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Bulgaria;Land use;ha;2.13e-08;1.13010348472e-05
4.0;Plastic;Plastic - pvc;Extraction;Spain;GHGs;kg CO2e;0.0861581846;0.00633066939878
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Chile;Land use;ha;2.95e-08;1.3048944627e-05
4.0;Other;Other - ceramic;Extraction;Spain;GHGs;kg CO2e;0.0138540289;0.00101795641603
3.0;Fur;Fur;Abattoir;China;Land use;ha;2.131e-07;0.000159933353444
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Sweden;GHGs;kg CO2e;0.4547176683;0.0334114192535
3.0;Leather;Leather - deer;Abattoir;China;Land use;ha;1.30850896362e-07;9.8204705098e-05
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Dissolving pulp production;Sweden;GHGs;kg CO2e;3.53918282576;0.260049541616
3.0;Leather;Leather - goat - conventional;Abattoir;China;Land use;ha;1.67359467193e-07;0.000125604696475
4.0;Leather;Leather - beef - calf - conventional;Animal rearing;Sweden;GHGs;kg CO2e;16.8812947156;1.2403916861
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Croatia;Land use;ha;2.95e-08;1.64243521913e-05
4.0;Leather;Leather - sheep - lamb - conventional;Animal rearing;Sweden;GHGs;kg CO2e;11.3646771758;0.835045612411
3.0;Fur;Fur - mink;Abattoir;Finland;Land use;ha;0.00010521949072;0.0686337041362
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Switzerland;GHGs;kg CO2e;0.5134819043;0.0377292557111
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;France;Land use;ha;2.13e-08;1.41149042706e-05
3.0;Metal;Metal - gold - 9kt - white - Kering responsible;Processing;Switzerland;GHGs;kg CO2e;241.669975932;17.7572534558
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Greece;Land use;ha;2.13e-08;1.18972012842e-05
3.0;Animal Fibers;Animal Fibers - mohair - restorative grazing;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Leather;Leather - sheep/goat - conventional;Abattoir;India;Land use;ha;8.5519014568e-08;6.43809766749e-05
3.0;Animal Fibers;Animal Fibers - wool - conventional;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Leather;Leather - goat - conventional;Abattoir;India;Land use;ha;2.07453928344e-07;0.0001561768057
3.0;Animal Fibers;Animal Fibers - wool - regenerated;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Precious skin;Precious skin - other - farmed;Abattoir;Indonesia;Land use;ha;5.83536733588e-08;0.000126198522906
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.10682896315;0.301758638065
3.0;Precious skin;Precious skin - snake - farmed;Abattoir;Indonesia;Land use;ha;5.60260984008e-08;0.000121164794869
3.0;Cellulose based Fibers;Cellulose based Fibers - acetate;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;4.12910560213;0.303395464993
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Iraq;Land use;ha;2.13e-08;9.90561434997e-06
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;3.84777226803;0.282723855705
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Israel;Land use;ha;2.02458767811e-08;2.04717668107e-05
3.0;Plant Fibers;Plant Fibers - linen - organic;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;3.84777226803;0.282723855705
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Italy;Land use;ha;2.13e-08;1.40945919346e-05
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Spinning Weaving and Dyeing;Switzerland;GHGs;kg CO2e;8.25821120425;0.606790929987
3.0;Fur;Fur;Abattoir;Italy;Land use;ha;2.131e-07;0.000141012091139
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;Switzerland;GHGs;kg CO2e;0.8661206441;0.0636401925448
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Italy;Land use;ha;2.95e-08;1.95206789704e-05
3.0;Synthetic Stones;Synthetic Stones - sapphire glass;Cutting;Switzerland;GHGs;kg CO2e;297.418575235;21.8535091194
3.0;Leather;Leather - sheep/goat - conventional;Abattoir;Jordan;Land use;ha;3.58522022612e-08;4.32901567529e-06
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Dissolving pulp production;Switzerland;GHGs;kg CO2e;3.53764071887;0.25993623179
3.0;Precious skin;Precious skin - croc and gator - farmed;Abattoir;Kenya;Land use;ha;2.131e-07;7.03122074653e-05
3.0;Other;Other - glass;Processing;Switzerland;GHGs;kg CO2e;0.9394156199;0.0690257082974
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Lebanon;Land use;ha;5.70699095388e-08;2.79930131729e-05
3.0;Metal;Metal - gold - 24kt - secondary pre and post consumer;Processing;Switzerland;GHGs;kg CO2e;587.243417305;43.1490513505
3.0;Fur;Fur - lamb;Abattoir;Morocco;Land use;ha;2.131e-07;8.27064366045e-05
3.0;Metal;Metal - palladium - solid;Processing;Switzerland;GHGs;kg CO2e;2286.94857312;168.0387698
3.0;Precious skin;Precious skin - croc and gator - farmed;Abattoir;Mozambique;Land use;ha;1.4384418869e-06;0.00053955818842
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Processing;Switzerland;GHGs;kg CO2e;18.0702537374;1.32775316582
3.0;Leather;Leather - goat - conventional;Abattoir;Netherlands;Land use;ha;3.86894240184e-08;2.85119722944e-05
4.0;Leather;Leather - sheep - lamb - conventional;Animal rearing;Switzerland;GHGs;kg CO2e;11.3643682232;0.835022911419
3.0;Leather;Leather - sheep/goat - conventional;Abattoir;New Zealand;Land use;ha;4.07037617415e-09;2.32622442431e-06
4.0;Synthetic Fibers;Synthetic Fibers - elastic;Extraction;Switzerland;GHGs;kg CO2e;0.0690974841;0.0050770954629
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Nigeria;Land use;ha;3.58522022612e-08;1.93642760064e-05
4.0;Synthetic Stones;Synthetic Stones - sapphire glass;Extraction;Switzerland;GHGs;kg CO2e;0.0302498853;0.00222267941316
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Norway;Land use;ha;2.95e-08;2.41688698698e-05
4.0;Metal;Metal - brass - conventional;Extraction;Switzerland;GHGs;kg CO2e;14.3009775192;1.05079698666
3.0;Fur;Fur;Abattoir;Peru;Land use;ha;2.131e-07;0.000272415827744
4.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Extraction;Switzerland;GHGs;kg CO2e;0.9514785994;0.069912063268
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Slovenia;Land use;ha;2.95e-08;1.88511713875e-05
3.0;Plant Fibers;Plant Fibers - linen - conventional;Ginning;Taiwan;GHGs;kg CO2e;0.297664465049;0.0218715764351
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;South Africa;Land use;ha;4.23369580143e-07;0.0001133182036
3.0;Plastic;Plastic - acetal;Processing;Taiwan;GHGs;kg CO2e;26.7418506493;1.96491855484
3.0;Fur;Fur;Abattoir;South Africa;Land use;ha;2.131e-07;5.7037893887e-05
3.0;Plastic;Plastic - pe;Processing;Taiwan;GHGs;kg CO2e;8.70023858141;0.639269901114
3.0;Precious skin;Precious skin - other - farmed;Abattoir;South Africa;Land use;ha;4.23568345204e-06;0.00113371404635
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Processing;Taiwan;GHGs;kg CO2e;9.83536898707;0.722676200308
3.0;Precious skin;Precious skin - snake - farmed;Abattoir;South Africa;Land use;ha;4.06673315011e-06;0.00108849316698
3.0;Metal;Metal - brass - conventional;Processing;Taiwan;GHGs;kg CO2e;0.0906957315213;0.00666407602258
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Spain;Land use;ha;2.13e-08;1.3438304829e-05
4.0;Plant Fibers;Plant Fibers - linen - conventional;Crop farming;Taiwan;GHGs;kg CO2e;1.28804615706;0.0946421332876
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Sweden;Land use;ha;2.13e-08;1.50127816441e-05
4.0;Synthetic Fibers;Synthetic Fibers - elastic;Extraction;Taiwan;GHGs;kg CO2e;0.0690974841;0.0050770954629
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Switzerland;Land use;ha;2.13e-08;1.68323471541e-05
4.0;Metal;Metal - brass - conventional;Extraction;Taiwan;GHGs;kg CO2e;4.31674526921;0.317182718101
3.0;Precious skin;Precious skin - snake - farmed;Abattoir;Thailand;Land use;ha;4.31510615184e-08;7.84446038033e-05
3.0;Natural Stones;Natural Stones - semi precious stones - conventional;Processing;Tajikistan;GHGs;kg CO2e;0.8408172317;0.0617809665257
3.0;Precious skin;Precious skin - snake - wild;Abattoir;Thailand;Land use;ha;4.31510615184e-08;7.84446038033e-05
3.0;Natural Stones;Natural Stones - precious stones - conventional;Processing;Tanzania;GHGs;kg CO2e;8186.90462096;601.551515915
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Tunisia;Land use;ha;5.69479322395e-08;3.21261331595e-05
4.0;Natural Stones;Natural Stones - precious stones - conventional;Extraction;Tanzania;GHGs;kg CO2e;94.6452045354;6.95427257289
3.0;Leather;Leather - beef - calf - conventional;Abattoir;United States;Land use;ha;2.95e-08;2.28251815649e-05
3.0;Precious skin;Precious skin - snake - wild;Abattoir;Thailand;GHGs;kg CO2e;6.06141030948;0.44537596675
3.0;Precious skin;Precious skin - croc and gator - wild;Abattoir;United States;Land use;ha;4.67431702939e-07;0.000361668253856
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Dissolving pulp production;Thailand;GHGs;kg CO2e;8.64210323051;0.634998273425
3.0;Precious skin;Precious skin - croc and gator - farmed;Abattoir;Zambia;Land use;ha;4.23568345204e-06;0.00172372768734
3.0;Plastic;Plastic - acetal;Processing;Thailand;GHGs;kg CO2e;43.2274951374;3.17623893682
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Argentina;Land use;ha;0.0003330070884;0.0501998297118
3.0;Plastic;Plastic - polystyrene;Processing;Thailand;GHGs;kg CO2e;4.52987478359;0.332842895958
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Australia;Land use;ha;0.0003330212294;0.0606566180665
3.0;Rubber;Rubber - synthetic;Processing;Thailand;GHGs;kg CO2e;2.00760230149;0.147513164465
4.0;Paper;Paper - paper and cardboard - uncertified;Production;Austria;Land use;ha;0.000355124094545;0.149419685543
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Processing;Thailand;GHGs;kg CO2e;4.53256086669;0.333040262049
4.0;Paper;Paper - paper and cardboard - uncertified;Production;Belgium;Land use;ha;0.000355124132619;0.0904808487008
3.0;Natural Stones;Natural Stones - semi precious stones - conventional;Processing;Thailand;GHGs;kg CO2e;0.841137954774;0.0618045323861
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Bulgaria;Land use;ha;0.0003330095228;0.0500750428536
3.0;Metal;Metal - brass - conventional;Processing;Thailand;GHGs;kg CO2e;0.16247695771;0.0119383655651
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Canada;Land use;ha;0.000333;0.0738347128119
4.0;Precious skin;Precious skin - other - farmed;Animal rearing;Thailand;GHGs;kg CO2e;81.3381899453;5.97650928266
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;China;Land use;ha;0.000125008111925;0.0314754022388
4.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Extraction;Thailand;GHGs;kg CO2e;0.142631557069;0.0104801794261
4.0;Paper;Paper - tissue;Production;China;Land use;ha;5.00090034e-09;1.2591610843e-06
4.0;Natural Stones;Natural Stones - semi precious stones - conventional;Extraction;Thailand;GHGs;kg CO2e;0.0306314538337;0.00225071603267
4.0;Rubber;Rubber - natural;Production;China;Land use;ha;2.4e-09;6.0428850744e-07
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Tunisia;GHGs;kg CO2e;0.431654608665;0.0317168082708
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Croatia;Land use;ha;0.000333002685;0.0752482668435
3.0;Leather;Leather - sheep - lamb - conventional;Abattoir;Tunisia;GHGs;kg CO2e;0.5897096983;0.0433302669795
4.0;Wood;Wood - softwood;Production;Croatia;Land use;ha;0.0005869914;0.132641829906
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Dissolving pulp production;Tunisia;GHGs;kg CO2e;9.3233267;0.685052723761
4.0;Cellulose based Fibers;Cellulose based Fibers - certified;Pulpwood harvest;France;Land use;ha;0.000344998968727;0.0830284158444
3.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Processing;Tunisia;GHGs;kg CO2e;28.1607300878;2.06917396231
4.0;Cellulose based Fibers;Cellulose based Fibers - certified;Pulpwood harvest;Germany;Land use;ha;0.000345008442497;0.126761563774
4.0;Leather;Leather - beef - calf - conventional;Animal rearing;Tunisia;GHGs;kg CO2e;19.0532645074;1.39998212733
4.0;Paper;Paper - tissue;Production;Germany;Land use;ha;6.7132214925e-09;2.46654385671e-06
4.0;Plant Fibers;Plant Fibers - linen - conventional;Crop farming;Tunisia;GHGs;kg CO2e;1.10523111703;0.0812093806718
4.0;Paper;Paper - paper and cardboard - uncertified;Production;Germany;Land use;ha;0.000355124282349;0.130478283485
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Tunisia;GHGs;kg CO2e;45.7313367163;3.36021441561
4.0;Other;Other - cork;Production;Italy;Land use;ha;0.000440553012214;0.105737048061
4.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Extraction;Tunisia;GHGs;kg CO2e;0.9514785994;0.069912063268
4.0;Paper;Paper - paper and cardboard - uncertified;Production;Italy;Land use;ha;0.000355124136897;0.0852332792865
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.81008654696;0.353432095276
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Japan;Land use;ha;0.00012499314993;0.0288993981225
3.0;Animal Fibers;Animal Fibers - silk - organic;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.81008654696;0.353432095276
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Poland;Land use;ha;0.0003330260982;0.064952144394
3.0;Animal Fibers;Animal Fibers - wool - conventional;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.81008654696;0.353432095276
4.0;Paper;Paper - paper and cardboard - uncertified;Production;Poland;Land use;ha;0.000355124519778;0.0692621365447
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.81008654696;0.353432095276
4.0;Other;Other - cork;Production;Portugal;Land use;ha;0.000440553012214;0.0783506447137
3.0;Animal Fibers;Animal Fibers - wool - regenerated;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.81008654696;0.353432095276
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Slovenia;Land use;ha;0.0003330017184;0.111521446151
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.66766769496;0.34296754484
4.0;Wood;Wood - hardwood;Production;Slovenia;Land use;ha;0.0017311592;0.579760904628
3.0;Plant Fibers;Plant Fibers - linen - organic;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.66766769496;0.34296754484
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;South Africa;Land use;ha;0.000125003064505;0.0107030851658
3.0;Synthetic Fibers;Synthetic Fibers - polyester - conventional;Spinning Weaving and Dyeing;Turkey;GHGs;kg CO2e;4.94900102906;0.363639154129
4.0;Wood;Wood - softwood;Production;Sweden;Land use;ha;0.0005869914;0.154011400038
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - RH_WB;Turkey;GHGs;kg CO2e;0.8661206441;0.0636401925448
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Switzerland;Land use;ha;0.000332995417614;0.158903333429
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;Turkey;GHGs;kg CO2e;1.0541711125;0.0774576302178
4.0;Wood;Wood - softwood;Production;Switzerland;Land use;ha;0.0005869914;0.28010862979
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Washing;Turkey;GHGs;kg CO2e;1.52811051797;0.112281410513
4.0;Rubber;Rubber - natural;Production;Thailand;Land use;ha;2.4e-09;1.5488100612e-06
3.0;Fur;Fur;Tanning - WB_FL;Turkey;GHGs;kg CO2e;0.7121292001;0.0523253194804
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Turkey;Land use;ha;0.000124990806485;0.0236331668847
3.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Dissolving pulp production;Turkey;GHGs;kg CO2e;8.45687581772;0.621388266211
4.0;Natural Stones;Natural Stones - semi precious stones - conventional;Extraction;Afghanistan;GHGs;kg CO2e;0.0306308068;0.00225066849039
3.0;Plant Fibers;Plant Fibers - cotton - organic;Ginning;Turkey;GHGs;kg CO2e;0.667322746844;0.0490330629895
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Albania;GHGs;kg CO2e;0.5134819043;0.0377292557111
3.0;Plant Fibers;Plant Fibers - linen - conventional;Ginning;Turkey;GHGs;kg CO2e;0.297644681074;0.0218701227624
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Argentina;GHGs;kg CO2e;0.5134819043;0.0377292557111
3.0;Synthetic Fibers;Synthetic Fibers - acrylic;Processing;Turkey;GHGs;kg CO2e;3.415741349;0.250979397171
3.0;Precious skin;Precious skin - snake - farmed;Abattoir;Argentina;GHGs;kg CO2e;6.49726505785;0.477401389879
3.0;Synthetic Fibers;Synthetic Fibers - elastic;Processing;Turkey;GHGs;kg CO2e;1.2463129035;0.0915756871633
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Argentina;GHGs;kg CO2e;0.8661206441;0.0636401925448
4.0;Plant Fibers;Plant Fibers - cotton - conventional;Crop farming;Turkey;GHGs;kg CO2e;2.27765245527;0.167355716309
3.0;Animal Fibers;Animal Fibers - wool - conventional;Washing;Argentina;GHGs;kg CO2e;1.34468157903;0.0988035502718
4.0;Animal Fibers;Animal Fibers - wool - conventional;Animal rearing;Turkey;GHGs;kg CO2e;126.768499796;9.31460506177
3.0;Animal Fibers;Animal Fibers - wool - organic;Washing;Argentina;GHGs;kg CO2e;1.34468157903;0.0988035502718
4.0;Synthetic Fibers;Synthetic Fibers - nylon - conventional;Extraction;Turkey;GHGs;kg CO2e;0.9514785994;0.069912063268
3.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Washing;Argentina;GHGs;kg CO2e;1.35110948189;0.0992758551161
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Ukraine;GHGs;kg CO2e;0.5134819043;0.0377292557111
4.0;Animal Fibers;Animal Fibers - wool - restorative grazing;Animal rearing;Argentina;GHGs;kg CO2e;152.847911495;11.2308494017
3.0;Leather;Leather - beef - calf - conventional;Tanning - WB_FL;Ukraine;GHGs;kg CO2e;1.0541711125;0.0774576302178
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;Argentina;GHGs;kg CO2e;0.07244348595;0.0053229505911
3.0;Animal Fibers;Animal Fibers - cashmere - conventional;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.65122245921;0.341759193583
4.0;Leather;Leather - beef - calf - conventional;Animal rearing;Argentina;GHGs;kg CO2e;48.1100644076;3.53499686574
3.0;Animal Fibers;Animal Fibers - mohair - restorative grazing;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.65122245921;0.341759193583
4.0;Metal;Metal - silver;Extraction;Argentina;GHGs;kg CO2e;74.2010911465;5.45209464728
3.0;Animal Fibers;Animal Fibers - silk - conventional;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.65122245921;0.341759193583
3.0;Leather;Leather - beef - calf - conventional;Abattoir;Australia;GHGs;kg CO2e;0.431293753894;0.0316902936423
3.0;Animal Fibers;Animal Fibers - wool - organic;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.65122245921;0.341759193583
3.0;Leather;Leather - kangaroo;Abattoir;Australia;GHGs;kg CO2e;0.388869369598;0.0285730651089
3.0;Cellulose based Fibers;Cellulose based Fibers - certified;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.76378875116;0.350030258985
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;Australia;GHGs;kg CO2e;0.8661206441;0.0636401925448
3.0;Plant Fibers;Plant Fibers - hemp;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.48245541706;0.329358649697
3.0;Animal Fibers;Animal Fibers - mohair - conventional;Washing;Australia;GHGs;kg CO2e;2.16439282738;0.159033706465
3.0;Synthetic Fibers;Synthetic Fibers - polyester - recycled;Spinning Weaving and Dyeing;United Kingdom;GHGs;kg CO2e;4.76378875116;0.350030258985
3.0;Animal Fibers;Animal Fibers - wool - organic;Washing;Australia;GHGs;kg CO2e;0.963204870132;0.0707736777928
3.0;Leather;Leather - beef - calf - conventional;Tanning - RH_WB;United Kingdom;GHGs;kg CO2e;0.8661206441;0.0636401925448
3.0;Animal Fibers;Animal Fibers - wool - regenerated;Washing;Australia;GHGs;kg CO2e;0.5166808524;0.0379643057292
3.0;Leather;Leather - sheep - lamb - conventional;Tanning - WB_FL;United Kingdom;GHGs;kg CO2e;1.0541711125;0.0774576302178
3.0;Plant Fibers;Plant Fibers - cotton - conventional;Ginning;Australia;GHGs;kg CO2e;1.39531963941;0.102524297415
3.0;Animal Fibers;Animal Fibers - wool - conventional;Washing;United Kingdom;GHGs;kg CO2e;0.917508849585;0.0674160583135
3.0;Plant Fibers;Plant Fibers - cotton - organic;Ginning;Australia;GHGs;kg CO2e;0.845868748915;0.0621521382908
3.0;Plant Fibers;Plant Fibers - hemp;Ginning;United Kingdom;GHGs;kg CO2e;0.0001603645;1.178314791e-05
3.0;Metal;Metal - brass - conventional;Processing;Australia;GHGs;kg CO2e;0.324444406025;0.0238392937637
3.0;Cellulose based Fibers;Cellulose based Fibers - acetate;Processing;United Kingdom;GHGs;kg CO2e;2.1554843659;0.158379136911
4.0;Natural Stones;Natural Stones - diamonds;Extraction;Australia;GHGs;kg CO2e;579014.147694;42544.3869701
3.0;Plastic;Plastic - abs;Processing;United Kingdom;GHGs;kg CO2e;3.7351752707;0.274450534155
4.0;Plant Fibers;Plant Fibers - cotton - organic;Crop farming;Australia;GHGs;kg CO2e;3.2483666814;0.238681161186
3.0;Paper;Paper - paper and cardboard - uncertified;Processing;United Kingdom;GHGs;kg CO2e;0.5620293007;0.0412963865438
4.0;Precious skin;Precious skin - croc and gator - farmed;Animal rearing;Australia;GHGs;kg CO2e;88.2202590466;6.48218502852
4.0;Leather;Leather - sheep - lamb - conventional;Animal rearing;United Kingdom;GHGs;kg CO2e;11.5000359264;0.844991405773
4.0;Metal;Metal - aluminium;Extraction;Australia;GHGs;kg CO2e;7.69587255327;0.565471813224
4.0;Cellulose based Fibers;Cellulose based Fibers - uncertified;Pulpwood harvest;United Kingdom;GHGs;kg CO2e;0.072571816778;0.00533237999179
4.0;Metal;Metal - bronze;Extraction;Australia;GHGs;kg CO2e;2.88633223887;0.212079853634
